t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2011,44.93306,51.16343,32.03012,16.63866,21.89499,20.91611,13.92229,8.563848,5.277565,12.72781,40.84987,29.5131,29.10821,23.42891,14.89514,21.34201,18.02506,7.136067,27.97275,35.27774,11.54009,10.60367,29.39441,51.6955,11.29488,7.947788
2012,45.29519,51.37874,32.68882,16.68244,21.97801,21.92743,14.32415,8.757822,5.24609,13.20686,40.71297,29.68465,29.21636,23.56146,15.12598,21.82436,17.92641,7.251658,27.96056,36.13261,11.73756,10.81488,29.57358,52.50955,11.37093,8.018848
2013,45.16946,51.61303,32.67088,16.78377,22.1675,22.54945,14.36786,8.843948,5.285168,13.56931,40.70461,29.90828,29.6356,23.62511,15.30735,22.16062,17.97011,7.383585,28.36944,37.08007,11.9192,11.01426,29.99463,52.40094,11.41354,8.115542
2014,45.34872,51.85318,32.82494,16.89001,21.95917,22.65076,14.34349,8.916598,5.323877,13.80331,40.84976,30.32322,29.8727,23.22334,15.41863,22.48745,18.13817,7.545233,28.83749,37.92679,12.08424,11.19524,30.16057,52.52407,11.47557,8.197194
2015,45.93738,52.02779,33.15028,17.11292,22.31086,23.33258,14.58506,9.02739,5.354988,14.05498,41.07254,30.64768,30.36045,23.52892,15.61524,22.92218,18.57104,7.683244,29.41994,38.8323,12.33779,11.41445,30.41413,52.85054,11.53631,8.276343
2016,46.49669,52.25336,33.47114,17.35443,22.80312,23.95688,14.90825,9.147243,5.413058,14.44932,41.35433,31.08256,30.8236,23.85419,15.81331,23.34554,19.00532,7.843738,30.014,39.53004,12.62328,11.67004,30.66366,53.19782,11.61424,8.374433
2017,47.0269,52.47247,33.79774,17.59909,23.3091,24.59488,15.25802,9.270248,5.474001,14.87891,41.6317,31.53281,31.29125,24.22691,16.01674,23.77602,19.42604,8.01531,30.61289,40.099,12.92024,11.94434,30.90958,53.54364,11.69549,8.47628
2018,47.53048,52.68531,34.12948,17.84698,23.82847,25.24558,15.61287,9.396499,5.537956,15.34445,41.90421,31.99744,31.76295,24.63029,16.22721,24.2189,19.82937,8.198367,31.21451,40.56614,13.22834,12.23634,31.15145,53.88451,11.78024,8.58202
2019,48.00755,52.89256,34.46582,18.09516,24.361,25.90814,15.97264,9.525873,5.605066,15.84771,42.17101,32.47558,32.23827,25.06576,16.44427,24.67735,20.21637,8.393606,31.81802,40.95462,13.54748,12.54545,31.38916,54.21619,11.86862,8.691791
2020,48.45603,53.09803,34.79822,18.34244,24.90703,26.57951,16.33661,9.658668,5.675485,16.37591,42.42921,32.96886,32.7167,25.54955,16.67015,25.15623,20.59212,8.603005,32.41843,41.28733,13.87553,12.86821,31.62264,54.54042,11.96049,8.805739
2021,48.85619,53.20718,35.12536,18.62585,25.34676,27.17402,16.6917,9.795884,5.745334,16.881,42.66039,33.40879,33.11929,26.04662,16.91249,25.58806,20.9237,8.812227,32.95469,41.55629,14.18237,13.16138,31.88042,54.7696,12.06094,8.894996
2022,49.25356,53.31834,35.4524,18.91712,25.79331,27.7752,17.0496,9.937971,5.818431,17.4122,42.88984,33.85764,33.52342,26.54848,17.16754,26.02748,21.24845,9.033557,33.48736,41.79564,14.49367,13.46583,32.13454,54.99844,12.16542,8.986873
2023,49.64106,53.4313,35.77888,19.21663,26.24698,28.38227,17.41066,10.08518,5.894928,17.97069,43.11709,34.31471,33.92877,27.06186,17.4362,26.47758,21.56639,9.267635,34.01509,42.01793,14.81015,13.78168,32.38481,55.22648,12.27401,9.081438
2024,50.01741,53.54601,36.10437,19.52346,26.7076,28.99472,17.77438,10.23772,5.974987,18.55699,43.34212,34.77948,34.33501,27.55851,17.71964,26.93924,21.87779,9.515001,34.5374,42.23194,15.13136,14.10889,32.63127,55.45275,12.38679,9.178758
