t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2021,61.48158,66.72619,44.4911,24.1435,31.34863,34.15025,21.80949,12.93313,7.758225,21.86161,54.15631,43.29327,42.59317,33.50954,22.36939,32.76587,26.92258,11.80484,41.93291,54.5606,18.78524,17.37936,41.10178,68.48444,16.16114,11.85392
2022,61.93408,66.81461,44.87677,24.50929,31.87679,34.88107,22.26563,13.11339,7.852875,22.53716,54.41543,43.85242,43.0959,34.13881,22.69381,33.31002,27.32782,12.09398,42.5858,54.83797,19.18604,17.77121,41.40971,68.72541,16.29137,11.96969
2023,62.37221,66.90379,45.26062,24.88531,32.41238,35.61764,22.72535,13.30019,7.952018,23.24714,54.6708,44.42141,43.59962,34.78208,23.0358,33.86694,27.72382,12.39982,43.23118,55.09241,19.59317,18.17761,41.7122,68.96407,16.42694,12.0889
2024,62.79422,66.99349,45.64204,25.27032,32.95499,36.35918,23.18801,13.49378,8.055863,23.99216,54.92241,44.99957,44.10392,35.40301,23.39689,34.43769,28.11088,12.72306,43.86838,55.33545,20.00606,18.59849,42.00926,69.19898,16.56795,12.21164
2025,63.19894,67.08347,46.02057,25.66359,33.50459,37.10507,23.65229,13.69435,8.164634,24.77397,55.1701,45.58547,44.60837,36.03116,23.77806,35.0227,28.48898,13.0643,44.49634,55.575,20.42403,19.0338,42.30085,69.42938,16.71442,12.33799
2026,63.57706,67.13671,46.39293,26.05122,33.94531,37.79872,24.08285,13.89845,8.282059,25.48978,55.41272,46.13269,45.0438,36.59704,24.09752,35.57347,28.84931,13.37693,45.02448,55.78718,20.80721,19.41128,42.58353,69.60921,16.86172,12.45777
2027,63.93483,67.1908,46.7614,26.44462,34.38954,38.49402,24.51095,14.10952,8.405217,26.23733,55.65155,46.68594,45.47866,37.1604,24.42954,36.13544,29.20167,13.70403,45.54382,56.00167,21.19237,19.79763,42.86103,69.78548,17.01434,12.5808
2028,64.28716,67.24524,47.12663,26.84256,34.83656,39.19424,24.93654,14.32686,8.534396,27.01677,55.88594,47.24264,45.91267,37.71996,24.77463,36.7086,29.54972,14.04626,46.05643,56.21995,21.58294,20.19316,43.13382,69.95545,17.17268,12.70714
2029,64.60779,67.30003,47.48879,27.24323,35.29044,39.90075,25.35982,14.55098,8.669896,27.82841,56.1159,47.80164,46.34549,38.26943,25.13365,37.29379,29.89542,14.40395,46.5618,56.44297,21.97926,20.59944,43.40198,70.11916,17.3369,12.83687
2030,64.89201,67.35509,47.84728,27.64641,35.74661,40.61277,25.77941,14.78165,8.812037,28.67191,56.34167,48.36226,46.77687,38.80846,25.50706,37.89166,30.23882,14.77753,47.05974,56.67157,22.38131,21.01628,43.66574,70.2766,17.50782,12.97007
2031,65.27921,67.38613,48.18798,28.04567,36.13858,41.26921,26.16849,14.99669,8.960458,29.45811,56.56969,48.8763,47.16182,39.25618,25.81541,38.38374,30.50907,15.15302,47.49909,56.86699,22.74714,21.36744,43.89853,70.40623,17.67901,13.09967
